score_pct,time_taken_sec,easy_correct,medium_correct,hard_correct,attempt_number,label
83.06,597,1,4,3,5,Advanced
96.5,707,3,1,0,4,Intermediate
12.43,362,0,4,0,1,Beginner
73.09,803,3,4,3,4,Intermediate
93.83,647,1,1,0,2,Intermediate
18.12,899,1,0,0,2,Beginner
6.65,404,3,3,2,5,Beginner
74.11,873,1,1,3,4,Intermediate
57.45,860,2,2,3,5,Intermediate
84.18,60,2,0,1,3,Intermediate
13.98,206,1,2,0,2,Beginner
79.53,346,2,0,2,5,Intermediate
20.16,713,0,3,0,3,Beginner
16.37,112,3,3,0,5,Beginner
16.43,363,0,4,1,4,Beginner
81.46,128,3,2,0,4,Intermediate
66.52,420,1,0,2,4,Intermediate
52.31,661,0,3,2,4,Intermediate
35.88,279,1,1,1,1,Beginner
87.72,763,1,3,0,3,Intermediate
39.24,634,3,1,2,3,Beginner
81.66,644,3,0,0,4,Intermediate
43.91,220,3,3,0,1,Beginner
37.69,740,0,3,0,4,Beginner
46.27,148,2,0,1,1,Beginner
30.14,747,3,3,0,4,Beginner
74.76,840,3,1,2,2,Intermediate
50.27,644,0,3,0,2,Beginner
23.22,816,3,2,2,5,Beginner
89.96,648,0,4,0,4,Intermediate
38.39,218,1,1,2,3,Beginner
54.36,548,3,2,2,5,Intermediate
90.65,383,3,0,0,2,Intermediate
62.42,669,1,1,0,4,Intermediate
11.69,440,1,4,2,5,Beginner
93.98,161,1,4,3,4,Advanced
62.77,553,3,0,1,2,Intermediate
33.49,703,2,0,3,5,Beginner
13.93,673,2,1,3,2,Beginner
79.4,78,2,3,0,1,Intermediate
62.01,513,3,0,1,2,Intermediate
53.35,541,1,3,3,4,Intermediate
89.39,653,3,2,0,3,Intermediate
78.86,456,1,4,3,2,Intermediate
15.17,338,3,3,3,3,Beginner
31.17,424,3,4,0,1,Beginner
24.85,390,1,3,0,5,Beginner
74.39,700,2,2,0,5,Intermediate
3.35,403,1,0,1,3,Beginner
56.99,881,0,2,3,5,Intermediate
76.25,514,0,0,0,2,Intermediate
87.68,660,1,0,2,3,Intermediate
34.21,784,3,4,3,4,Beginner
82.13,714,0,2,2,2,Intermediate
11.06,124,0,3,1,2,Beginner
84.65,135,3,2,0,2,Intermediate
12.75,770,3,4,2,4,Beginner
39.73,202,2,0,1,1,Beginner
79.73,887,3,4,0,5,Intermediate
14.99,664,1,1,2,3,Beginner
22.93,532,1,1,2,1,Beginner
72.23,476,2,3,1,3,Intermediate
72.0,364,0,4,0,5,Intermediate
64.11,795,0,3,0,4,Intermediate
69.39,556,3,3,2,2,Intermediate
54.27,350,1,1,2,2,Intermediate
25.18,161,0,3,2,4,Beginner
34.57,326,2,1,0,1,Beginner
18.16,681,2,0,1,1,Beginner
90.85,836,1,4,1,3,Intermediate
58.34,62,2,3,0,4,Beginner
40.09,144,2,1,3,1,Beginner
46.2,853,1,2,1,4,Beginner
94.73,387,3,3,2,5,Advanced
15.34,875,3,0,3,2,Beginner
58.62,509,2,0,3,2,Intermediate
50.59,513,3,2,1,2,Beginner
61.15,688,3,1,3,4,Intermediate
1.81,280,2,3,3,4,Beginner
87.21,213,3,1,1,3,Intermediate
93.21,724,2,0,1,2,Intermediate
56.51,71,0,1,3,3,Intermediate
69.67,192,1,0,2,2,Intermediate
92.25,363,1,1,0,3,Intermediate
70.72,352,3,2,3,3,Intermediate
15.25,359,3,4,3,5,Beginner
57.63,799,3,2,2,3,Intermediate
60.67,842,1,2,3,4,Intermediate
42.41,102,0,4,3,3,Beginner
73.64,402,0,4,0,2,Intermediate
93.44,385,1,3,0,3,Intermediate
92.56,873,0,3,0,1,Intermediate
45.08,557,1,2,1,2,Beginner
11.32,423,0,2,1,1,Beginner
98.48,486,2,0,0,2,Intermediate
83.89,80,2,0,0,4,Intermediate
12.47,466,1,3,1,4,Beginner
92.08,678,0,3,2,4,Advanced
86.99,395,3,0,3,1,Intermediate
51.88,874,0,0,3,5,Intermediate
59.13,176,2,1,0,2,Beginner
39.9,183,2,1,2,4,Beginner
5.48,458,0,0,1,2,Beginner
33.52,852,0,1,0,1,Beginner
80.29,863,3,4,2,5,Advanced
0.46,774,3,3,2,1,Beginner
33.35,110,0,3,2,2,Beginner
39.82,842,0,0,1,5,Beginner
53.74,383,0,2,1,5,Beginner
91.99,848,0,0,3,1,Intermediate
34.63,200,1,1,3,4,Beginner
34.7,529,0,2,2,2,Beginner
73.75,846,3,1,2,3,Intermediate
45.22,861,2,4,1,3,Beginner
22.46,393,1,1,3,1,Beginner
45.24,432,0,4,2,2,Intermediate
14.09,623,2,4,3,2,Beginner
17.64,553,1,1,3,1,Beginner
49.84,598,2,1,2,2,Intermediate
41.89,728,0,4,1,4,Beginner
91.48,810,0,2,2,1,Intermediate
36.24,215,3,4,2,4,Beginner
58.06,350,0,3,3,2,Intermediate
63.23,707,0,4,2,1,Intermediate
1.31,203,1,2,1,2,Beginner
66.35,165,3,3,2,1,Intermediate
17.8,479,1,0,1,2,Beginner
96.11,729,2,0,1,4,Intermediate
14.87,717,0,2,3,4,Beginner
41.46,61,2,4,0,2,Beginner
8.53,648,1,1,0,1,Beginner
99.69,703,0,2,3,3,Intermediate
50.22,149,0,3,2,4,Intermediate
59.54,404,1,3,3,4,Intermediate
6.71,409,1,0,1,3,Beginner
75.0,518,1,3,0,2,Intermediate
20.99,322,1,2,3,1,Beginner
89.81,410,1,3,2,2,Advanced
20.51,167,0,2,3,5,Beginner
19.07,645,1,1,0,4,Beginner
3.65,98,0,0,3,5,Beginner
47.21,218,0,3,3,4,Intermediate
56.48,642,1,2,0,4,Beginner
6.57,371,1,4,1,5,Beginner
77.55,300,3,0,1,5,Intermediate
45.33,504,0,1,0,2,Beginner
52.44,357,1,2,3,5,Intermediate
44.08,95,1,1,0,2,Beginner
40.08,143,1,1,1,2,Beginner
55.96,511,3,3,2,2,Intermediate
15.52,834,3,3,3,4,Beginner
18.19,881,2,2,1,4,Beginner
86.18,444,0,4,3,5,Advanced
94.61,231,2,2,0,4,Intermediate
37.33,435,1,4,2,5,Beginner
27.07,744,3,1,0,4,Beginner
64.4,421,3,0,2,1,Intermediate
40.87,618,2,2,3,1,Beginner
2.54,200,3,2,3,5,Beginner
15.62,177,1,4,0,4,Beginner
71.6,336,3,1,2,4,Intermediate
65.89,785,2,1,2,2,Intermediate
2.71,279,1,4,3,3,Beginner
22.2,85,2,1,0,5,Beginner
23.11,580,3,3,2,3,Beginner
67.19,842,2,0,3,3,Intermediate
1.97,69,2,2,1,5,Beginner
10.41,437,0,0,0,4,Beginner
79.99,692,3,2,1,5,Intermediate
17.85,696,3,3,0,3,Beginner
65.27,741,2,1,3,4,Intermediate
23.82,643,0,4,2,1,Beginner
9.94,211,3,3,2,5,Beginner
24.32,779,1,0,2,5,Beginner
72.23,108,2,4,0,4,Intermediate
85.57,213,3,1,3,1,Intermediate
83.02,352,1,3,1,1,Intermediate
39.72,639,3,4,3,4,Beginner
66.81,109,1,3,1,2,Intermediate
20.5,723,2,3,0,5,Beginner
29.31,590,3,1,0,5,Beginner
89.63,671,3,2,1,3,Intermediate
1.3,119,0,4,1,4,Beginner
8.55,226,2,1,1,3,Beginner
20.79,261,1,3,3,3,Beginner
2.65,205,3,1,1,1,Beginner
18.14,735,3,2,0,5,Beginner
58.3,498,1,4,0,3,Beginner
42.14,301,2,2,2,1,Beginner
89.27,640,0,0,1,4,Intermediate
81.74,746,0,4,3,3,Advanced
34.18,620,3,2,3,5,Beginner
25.94,542,1,3,3,3,Beginner
37.97,167,3,4,2,4,Beginner
59.03,285,1,4,0,3,Beginner
26.81,732,0,1,3,5,Beginner
62.41,690,2,3,0,1,Intermediate
40.94,720,1,0,2,5,Beginner
55.2,721,0,2,1,1,Beginner
43.61,491,3,1,1,2,Beginner
29.45,864,1,2,1,5,Beginner
94.85,714,2,0,3,5,Intermediate
76.36,478,3,0,1,4,Intermediate
14.01,514,3,4,3,3,Beginner
86.85,219,0,0,2,1,Intermediate
48.74,582,1,2,2,1,Intermediate
89.46,709,3,3,3,4,Advanced
79.99,649,2,3,0,4,Intermediate
42.52,136,1,4,1,3,Beginner
2.25,568,2,2,1,3,Beginner
26.87,500,3,2,1,5,Beginner
54.16,313,2,0,3,2,Intermediate
63.35,829,0,2,2,3,Intermediate
25.79,379,2,1,1,4,Beginner
13.94,862,1,0,2,3,Beginner
83.49,322,2,1,1,1,Intermediate
98.44,656,2,4,1,2,Intermediate
52.57,717,0,3,3,5,Intermediate
17.17,894,2,4,0,1,Beginner
27.23,613,2,3,3,1,Beginner
1.84,433,3,4,1,2,Beginner
91.43,696,3,2,1,5,Intermediate
11.78,226,1,1,0,4,Beginner
57.65,812,3,3,2,5,Intermediate
27.41,518,3,0,2,3,Beginner
55.42,339,3,1,1,1,Beginner
65.14,759,3,0,2,3,Intermediate
82.97,361,0,1,1,4,Intermediate
20.64,590,3,1,0,3,Beginner
1.1,639,0,4,0,5,Beginner
13.69,277,0,3,1,3,Beginner
90.0,161,3,3,0,4,Intermediate
87.39,613,2,1,3,4,Intermediate
59.74,347,0,2,3,4,Intermediate
60.05,226,2,2,0,5,Intermediate
66.5,680,2,0,1,4,Intermediate
17.54,95,3,0,1,1,Beginner
91.44,803,1,4,0,4,Intermediate
41.88,800,3,1,2,3,Beginner
38.31,412,1,0,3,3,Beginner
51.89,735,1,0,2,3,Intermediate
4.7,132,3,1,1,5,Beginner
16.63,707,3,4,1,3,Beginner
73.8,412,1,0,2,5,Intermediate
8.28,129,3,4,0,5,Beginner
60.32,484,1,3,2,4,Intermediate
24.53,767,2,4,2,1,Beginner
38.93,840,3,2,3,4,Beginner
28.87,620,2,2,3,4,Beginner
35.57,887,0,4,2,5,Beginner
71.9,701,2,2,2,5,Intermediate
29.71,576,2,3,1,3,Beginner
56.64,487,1,1,3,3,Intermediate
47.61,598,2,2,3,4,Intermediate
66.37,219,3,2,1,2,Intermediate
93.68,208,1,4,0,2,Intermediate
73.26,835,0,3,3,3,Intermediate
21.49,289,3,1,3,2,Beginner
3.12,771,0,4,0,3,Beginner
26.23,621,2,4,3,5,Beginner
59.51,126,3,3,3,4,Intermediate
5.14,871,3,1,0,1,Beginner
49.64,440,0,3,0,4,Beginner
59.68,117,3,1,2,3,Intermediate
33.42,318,3,3,1,3,Beginner
77.09,401,3,4,1,4,Intermediate
10.66,897,2,4,0,3,Beginner
7.51,189,0,0,0,2,Beginner
72.82,786,3,2,3,2,Intermediate
49.55,231,1,3,2,3,Intermediate
68.84,829,1,0,2,3,Intermediate
43.48,673,1,2,0,2,Beginner
24.64,268,1,3,3,3,Beginner
81.91,862,2,1,3,3,Intermediate
79.94,413,3,2,1,4,Intermediate
69.47,530,0,4,1,1,Intermediate
27.21,857,3,0,3,2,Beginner
59.02,175,2,2,1,4,Beginner
36.1,323,1,2,0,1,Beginner
9.16,721,2,4,3,3,Beginner
91.73,871,3,3,1,3,Intermediate
13.68,501,0,1,2,4,Beginner
95.02,607,2,4,3,3,Advanced
44.6,512,0,1,3,5,Beginner
